Met file for Wind River, Washington, USA

&environ
difsky = 0.0
ca = 410.663661655329
press = 96777.473218838
/

&latlong
lat=45 49 13.8
long=121 57	6.8394
tzlong=120
lonhem='W'
lathem='N'
/

startdate and enddate format: dd/mm/yy
&metformat
dayorhr=1
khrsperday=48
nocolumns=9
startdate='01/01/14'
enddate='31/12/14'
columns='DATE'	'TAIR'	'WIND'	'RH%'	'PRESS'	'RAD'	'PAR'	'TSOIL'	'CA'
/

DATA STARTS
4	-2.209501	0.5471	100	97618.47	0	0	2.527933333	410.0978878
4	-1.907867	0.2326553	100	97636.72	0	0	2.5125	409.5814329
4	-2.41007	0.4615147	100	97645.5	0	0	2.503033333	411.6079388
4	-2.281114	0.5168478	100	97668.1	0	0	2.5005	410.4029584
4	-2.227593	0.5380914	100	97686.63	0	0	2.4789	410.1551988
4	-2.426522	0.4852387	99.9135	97679.45	0	0	2.469633333	410.8707956
4	-2.805687	0.8108272	100	97680.61	0	0	2.4584	411.6016922
4	-2.82021	0.5833752	100	97695.46	0	0	2.447133333	410.8297711
4	-3.156647	0.5334544	100	97715.53	0	0	2.4379	412.2238613
4	-3.007941	0.8037699	100	97742.81	0	0	2.425266667	411.3675812
4	-3.451005	0.513993	100	97767.72	0	0	2.417966667	412.6012693
4	-3.149822	0.5759333	99.19402	97777.63	0	0	2.4123	411.0124745
4	-2.825933	0.5122107	95.43995	97813.29	90.8	75.1	2.406633333	410.8295257
4	-2.704156	0.7690796	92.95395	97844.99	85.5	115	2.384233333	410.641946
4	-2.729713	0.7705414	94.14204	97867.18	197.2	267.7	2.372966667	410.849839
4	-1.668161	0.5680526	90.27307	97895.63	238.6	524.5	2.369233333	409.4647988
4	-0.8487479	0.4540726	89.46188	97925.78	298.8	656.6	2.359733333	409.0613238
4	0.3724432	0.5627044	85.52121	97929.28	407.7	710	2.350266667	407.4736192
4	1.33282	0.3720467	82.14172	97904.33	373.7	785	2.3514	406.9191458
4	3.139093	0.1203793	74.86527	97865.32	364	786	2.3352	405.3056476
4	3.615863	0.1843099	74.56463	97849.05	365.9	799	2.3263	403.2647541
4	3.589657	0.9029726	72.76694	97847.24	355.3	777	2.3307	401.8653539
4	3.689516	1.238113	69.43279	97839.53	331.4	726	2.3122	399.8221319
4	4.085344	1.1698	65.71461	97831.85	294.2	649.9	2.319633333	398.4905867
4	4.071323	1.468894	63.83855	97830.94	246.6	550.3	2.314633333	398.5479675
4	4.36589	1.278862	60.11562	97842.06	188.3	428.9	2.3128	399.061187
4	4.338292	1.080309	58.73245	97850.92	114.6	278.4	2.3029	398.4956774
4	3.233973	1.259611	60.9516	97848.29	18.47	75.5	2.306266667	399.1807523
4	2.117851	1.496689	69.09548	97853.99	10.25	40.56	2.303133333	397.0475472
4	1.428202	1.979078	74.70173	97866.26	0	0	2.306333333	398.3091424
4	0.6468396	1.523498	78.66922	97862.73	0	0	2.2666	400.1717243
4	-0.1246916	1.472983	83.79236	97863.01	0	0	2.279433333	402.0818691
4	-0.6217265	0.4736834	87.83179	97874.04	0	0	2.281466667	402.5835146
4	-0.6797879	1.219991	86.09122	97898.56	0	0	2.277766667	404.422269
4	-1.081043	0.3888346	91.21806	97923.74	0	0	2.265333333	403.8629769
4	-1.322881	0.5181367	93.76302	97937.17	0	0	2.262333333	403.9866319
4	-1.531431	0.3723478	93.68614	97931.89	0	0	2.259033333	405.0840395
4	-1.849713	0.4556181	92.15894	97940.06	0	0	2.2514	406.6392437
4	-1.782236	0.3849269	92.0859	97940.91	0	0	2.251733333	406.8174107
