Program:    MAESPA                                                                          
Water balance parameters:Example water balance parameters.                      
                                                                                
Half-hourly water and heat balance components.
wsoil: total soil water storage                       mm
wsoilroot: soil water storage in rooted zone          mm
ppt : precipitation                                   mm
canopystore : storage of intercepted rain             mm
evapstore : evaporation of wet canopy                 mm
drainstore : drainage of wet canopy                   mm
tfall : throughfall of rain                           mm
et : modelled canopy transpiration                    mm
etmeas: measured ET, if provided in input             mm
discharge: drainage at bottom of profile              mm
overflow: over-land flow                              mm
weightedswp: soil water potential weighted by roots  MPa
ktot: soil to leaf hydr. cond.        mmol m-2 s-1 MPa-1
drythick: thickness of dry surface layer              mm
soilevap: soil evaporation                            mm
soilmoist: measured soil water content      (units vary)
fsoil: soil water modifier function                (0-1)
qh: sensible heat flux                             W m-2
qe: latent heat flux                               W m-2
qn: net radiation                                  W m-2
qc: soil heat transport                            W m-2
rglobund: net radiation underneath canopy          W m-2
rglobabv: net radiation above canopy               W m-2
radinterc: total radiation intercepted by canopy   W m-2
rnet: net radiation above the canopy               W m-2
totlai: leaf area index                           m2 m-2
tair: air temperature                              deg C
soilt1, soilt2: soil T in 1st and 2nd layer        deg C
fracw1,fracw2: water content 1st and 2nd layer    m3 m-3
FracaPAR: fraction of absorbed PAR
                                                                                
Columns: day hour wsoil wsoilroot ppt canopystore         evapstore drainstore tfall et etmeas discharge overflow  weightedswp ktot drythick soilevap                 soilmoist fsoil qh qe qn qc rglobund                     rglobabv radinterc rnet totlai tair soilt1 soilt2        fracw1 fracw2 fracaPAR
      1     31      366.1340       192.0282         0.0000         0.0000         0.0000         0.0000         0.0000         0.1536         0.0000         0.0007         0.0000        -0.0064         1.9986         0.0100         0.0090         0.1922         1.0000       -28.3200       -12.1958       104.3571       -63.8383       656.1786      1039.3463       335.2907       443.3940         3.0000        29.5970        29.7452        25.6508         0.1839         0.1931         0.7099
      1     32      365.9772       191.8716         0.0000         0.0000         0.0000         0.0000         0.0000         0.1470         0.0000         0.0007         0.0000        -0.0064         1.9986         0.0100         0.0091         0.1920         1.0000        -1.2414       -12.3388        73.4998       -59.9167       619.8846       963.5388       308.1231       379.5347         3.0000        29.7400        29.7465        25.8742         0.1835         0.1928         0.7382
      1     33      365.8301       191.7246         0.0000         0.0000         0.0000         0.0000         0.0000         0.1372         0.0000         0.0007         0.0000        -0.0065         1.9986         0.0100         0.0093         0.1919         1.0000        20.8932       -12.5810        46.6364       -54.9502       587.4859       881.5768       273.5133       311.7275         3.0000        29.7430        29.6336        26.0491         0.1831         0.1926         0.7591
      1     34      365.7008       191.5954         0.0000         0.0000         0.0000         0.0000         0.0000         0.1196         0.0000         0.0007         0.0000        -0.0065         1.9986         0.0100         0.0090         0.1917         1.0000        36.6111       -12.2061        23.2383       -47.6459       557.6954       799.2185       236.2086       246.7332         3.0000        29.5030        29.3114        26.1569         0.1828         0.1924         0.7766
      1     35      365.5916       191.4864         0.0000         0.0000         0.0000         0.0000         0.0000         0.1000         0.0000         0.0007         0.0000        -0.0065         1.9986         0.0100         0.0085         0.1916         1.0000        35.6978       -11.4638        11.4726       -35.7088       538.9066       719.8636       190.6038       189.9581         3.0000        28.7900        28.6037        26.1583         0.1825         0.1922         0.7436
      1     36      365.5157       191.4107         0.0000         0.0000         0.0000         0.0000         0.0000         0.0683         0.0000         0.0007         0.0000        -0.0065         1.9985         0.0100         0.0070         0.1915         1.0000        45.2171        -9.4432       -10.6392       -25.1333       507.8811       619.0467       141.6724       122.3865         3.0000        28.1170        27.8815        26.0771         0.1822         0.1921         0.7523
      1     37      365.4776       191.3728         0.0000         0.0000         0.0000         0.0000         0.0000         0.0320         0.0000         0.0007         0.0000        -0.0065         1.9985         0.0100         0.0054         0.1914         1.0000        45.5506        -7.2541       -30.0379        -8.2603       476.5528       511.7321        88.1909        61.0911         3.0000        26.8800        26.6437        25.8580         0.1821         0.1920         0.7012
      1     38      365.4727       191.3680         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0007         0.0000        -0.0065         1.9985         0.0100         0.0042         0.1914         1.0000        40.3287        -5.7205       -41.5521         6.9411       454.4414       459.6903        57.0735        16.3299         3.0000        25.5900        25.3817        25.5302         0.1821         0.1920         0.0000
      1     39      365.4686       191.3641         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0007         0.0000        -0.0065         1.9985         0.0100         0.0035         0.1914         1.0000        42.0382        -4.6978       -54.4858        17.1464       432.3277       437.8372        55.7119         0.3397         3.0000        24.5700        24.3536        25.1511         0.1820         0.1920         0.0000
      1     40      365.4651       191.3608         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0007         0.0000        -0.0066         1.9985         0.0100         0.0028         0.1914         1.0000        36.9929        -3.8257       -56.9730        23.8090       423.8418       429.6274        54.7113        -3.1443         3.0000        23.7070        23.5172        24.7559         0.1820         0.1920            NaN
      1     41      365.4621       191.3580         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0007         0.0000        -0.0066         1.9985         0.0100         0.0023         0.1914         1.0000        30.3334        -3.1469       -56.6763        29.4926       419.0133       424.9659        54.0998        -3.4050         3.0000        22.8870        22.7318        24.3510         0.1820         0.1920            NaN
      1     42      365.4595       191.3555         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0007         0.0000        -0.0066         1.9985         0.0100         0.0019         0.1914         1.0000        25.7899        -2.6482       -56.4022        33.2575       414.9945       421.0434        53.3480        -3.6372         3.0000        22.2000        22.0683        23.9521         0.1819         0.1920            NaN
      1     43      365.4572       191.3533         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0007         0.0000        -0.0066         1.9985         0.0100         0.0017         0.1914         1.0000        24.6440        -2.3789       -56.1751        33.9124       412.3726       418.4422        52.4498        -3.7828         3.0000        21.7500        21.6244        23.5854         0.1819         0.1920            NaN
      1     44      365.4548       191.3511         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0007         0.0000        -0.0066         1.9985         0.0100         0.0017         0.1914         1.0000        27.0662        -2.3216       -56.0110        31.2676       411.3639       417.3977        51.5949        -3.8058         3.0000        21.5770        21.4391        23.2765         0.1819         0.1920            NaN
      1     45      365.4526       191.3490         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0007         0.0000        -0.0066         1.9985         0.0100         0.0016         0.1914         1.0000        25.5551        -2.1165       -55.8290        32.3898       409.0808       415.1173        51.8366        -3.9636         3.0000        21.1830        21.0530        22.9792         0.1819         0.1920            NaN
      1     46      365.4507       191.3473         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0007         0.0000        -0.0066         1.9985         0.0100         0.0012         0.1913         1.0000        19.6693        -1.6443       -55.5951        37.5680       405.1561       411.3087        52.1381        -4.2022         3.0000        20.5000        20.4001        22.6516         0.1818         0.1920            NaN
      1     47      365.4489       191.3457         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0007         0.0000        -0.0066         1.9985         0.0100         0.0011         0.1913         1.0000        25.0484        -1.5465       -55.4853        31.9843       405.6422       411.8883        50.3519        -3.9261         3.0000        20.5830        20.4558        22.4027         0.1818         0.1920            NaN
      1     48      365.4475       191.3444         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0007         0.0000        -0.0066         1.9985         0.0100         0.0008         0.1913         1.0000        24.6656        -1.0922       -55.3412        31.7648       404.3127       410.8193        51.0492        -3.7208         3.0000        20.3470        20.2219        22.1689         0.1818         0.1920            NaN
